ID	Name	Formula	Compartment	CompartmentName	Boundary	LigandCompound	MetaCyc	ModelSeed	ChEBI
M_r562	2-octaprenyl-6-methoxyphenol		C_1	Cytoplasm	false				
M_r563	2-octaprenylphenol		C_1	Cytoplasm	false				
M_r567	2-oxo-3-hydroxy-4-phosphobutanoate		C_1	Cytoplasm	false				
M_r54	2-oxoarginine		C_1	Cytoplasm	false				
M_r568	2-oxobutanoate		C_1	Cytoplasm	false				
M_r569	2-oxo-hept-3-ene-1,7-dioate		C_1	Cytoplasm	false				
M_r571	2-oxohept-3-enedioate		C_1	Cytoplasm	false				
M_r572	2-oxopent-4-enoate		C_1	Cytoplasm	false				
M_r573	2-phenylethanol		C_1	Cytoplasm	false				
M_r574	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol		C_1	Cytoplasm	false				
M_r575	2-phosphoglycerate		C_1	Cytoplasm	false				
M_r576	2-phosphoglycolate		C_1	Cytoplasm	false				
M_r577	2-pyrone-4,6-dicarboxylate		C_1	Cytoplasm	false				
M_r578	3-(4-methylpent-3-en-1-yl)-pent-2-enedioyl-CoA		C_1	Cytoplasm	false				
M_r579	3,4-dihydroxy-2-butanone-4-P		C_1	Cytoplasm	false				
M_r580	3,4-dihydroxyphenylacetaldehyde		C_1	Cytoplasm	false				
M_r582	3,4-dihydroxyphenylacetate		C_1	Cytoplasm	false				
M_r585	3-carboxy-cis,cis-muconate		C_1	Cytoplasm	false				
M_r586	3-cyanopyridine		C_1	Cytoplasm	false				
M_r587	3-dehydroquinate		C_1	Cytoplasm	false				
M_r588	3-dehydro-shikimate		C_1	Cytoplasm	false				
M_r589	3-demethylubiquinone-8		C_1	Cytoplasm	false				
M_r590	3-demethylubiquinone-9		C_1	Cytoplasm	false				
M_r591	3-deoxy-D-arabino-heptulosonate-7-phosphate		C_1	Cytoplasm	false				
M_r593	3-deoxy-D-manno-octulosonate		C_1	Cytoplasm	false				
M_r594	3-deoxy-D-manno-octulosonate 8-P		C_1	Cytoplasm	false				
M_r364	(3R)-3-Hydroxyacyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r365	(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r366	(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r367	(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r369	(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r19	(S)-3-Hydroxydecanoyl-CoA		C_1	Cytoplasm	false				
M_r20	(S)-3-Hydroxydodecanoyl-CoA		C_1	Cytoplasm	false				
M_r370	(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r371	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r21	(S)-3-Hydroxyhexanoyl-CoA		C_1	Cytoplasm	false				
M_r22	(S)-3-Hydroxyhexadecanoyl-CoA		C_1	Cytoplasm	false				
M_r372	(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r373	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r23	(S)-3-Hydroxyoctanoyl-CoA		C_1	Cytoplasm	false				
M_r375	(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r374	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r376	R-3-hydroxypalmitoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r25	(S)-3-Hydroxytetradecanoyl-CoA		C_1	Cytoplasm	false				
M_r595	3-hydrohydroxyphosphorylpyruvate		C_1	Cytoplasm	false				
M_r596	3-hydroxy-3-methyl-glutaryl-CoA		C_1	Cytoplasm	false				
M_r597	3-hydroxyadipyl-CoA		C_1	Cytoplasm	false				
M_r598	3-hydroxybutyryl-CoA		C_1	Cytoplasm	false				
M_r599	3-hydroxy-isobutyrate		C_1	Cytoplasm	false				
M_r600	3-hydroxy-isobutyryl-CoA		C_1	Cytoplasm	false				
M_r602	3-hydroxypropionyl-CoA		C_1	Cytoplasm	false				
M_r604	3-isopropylmalate		C_1	Cytoplasm	false				
M_r605	3-methylbutanal		C_1	Cytoplasm	false				
M_r606	3-methylcrotonyl-CoA		C_1	Cytoplasm	false				
M_r607	3-methylglutaconyl-CoA		C_1	Cytoplasm	false				
M_r608	3-methylthiopropanal		C_1	Cytoplasm	false				
M_r391	3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r392	3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r393	3-oxo-cis-palm-9-eoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r609	3-octaprenyl-4-hydroxybenzoate		C_1	Cytoplasm	false				
M_r394	3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein]		C_1	Cytoplasm	false				
M_r31	3-Oxodecanoyl-CoA		C_1	Cytoplasm	false				
M_r32	3-Oxododecanoyl-CoA		C_1	Cytoplasm	false				
