ReactionID,Desctiption,Reversible,Virtual,Origin,Destination,Location (interface),SBO_key
R65_mc,Transport of 4-Trimethylammoniobutanoate,NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R66_pc,Transport of 4-Trimethylammoniobutanoate,NO,NO,peroxisome,cytosol,peroxisomal membrane,SBO:0000185
R67_nc,Transport of dUDP,NO,NO,nucleus,cytosol,nuclear membrane,SBO:0000185
R68_ec,Transport of Xanthosine,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R69_rc,Transport of Methylmalonate,NO,NO,endoplasmic reticulum,cytosol,endoplasmic reticulum membrane,SBO:0000185
R70_mc,Transport of Methylmalonate,NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R71_pc,Transport of Methylmalonate,NO,NO,peroxisome,cytosol,peroxisomal membrane,SBO:0000185
R72_rc,Transport of R-S-Glutathione,NO,NO,endoplasmic reticulum,cytosol,endoplasmic reticulum membrane,SBO:0000185
R73_pc,Transport of R-S-Glutathione,NO,NO,peroxisome,cytosol,peroxisomal membrane,SBO:0000185
R74_ec,Transport of beta-D-Fructose,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R75_lc,Transport of beta-D-Fructose,NO,NO,lysosome,cytosol,lysosomal membrane,SBO:0000185
R76_cm,Transport of L-Methionyl-tRNA,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R77_ec,Transport of N-Ribosylnicotinamide,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R78_nc,Transport of Trypanothione disulfide,NO,NO,nucleus,cytosol,nuclear membrane,SBO:0000185
R79_ec,Transport of (5-L-Glutamyl)-L-amino acid,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R80_ec,Transport of 4-Hydroxyphenylacetaldehyde,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R81_ec,"Transport of 3,4-Dihydroxyphenylacetaldehyde",NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R82_ec,Transport of Imidazole-4-acetaldehyde,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R83_ec,Transport of 16-Glucuronide-estriol,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R84_rc,Transport of 5-Hydroxyindoleacetate,NO,NO,endoplasmic reticulum,cytosol,endoplasmic reticulum membrane,SBO:0000185
R85_mc,Transport of 5-Hydroxyindoleacetate,NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R86_pc,Transport of 5-Hydroxyindoleacetate,NO,NO,peroxisome,cytosol,peroxisomal membrane,SBO:0000185
R87_ec,Transport of 3-Aminopropanal,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R88_mc,Transport of Acetoacetyl-[acp],NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R89_mc,Transport of 3-Oxohexanoyl-[acp],NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R90_mc,Transport of 3-Oxooctanoyl-[acp],NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R91_cl,Transport of Iminoaspartate,NO,NO,cytosol,lysosome,lysosomal membrane,SBO:0000185
R92_cp,Transport of D-4-Hydroxy-2-oxoglutarate,NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R93_mc,Transport of D-4-Hydroxy-2-oxoglutarate,NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R94_cp,Transport of (S)-3-Hydroxyisobutyryl-CoA,NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R95_pc,Transport of (S)-3-Hydroxyisobutyryl-CoA,NO,NO,peroxisome,cytosol,peroxisomal membrane,SBO:0000185
R96_nc,Transport of Icosanoic acid,NO,NO,nucleus,cytosol,nuclear membrane,SBO:0000185
R97_rc,Transport of Arsenite,NO,NO,endoplasmic reticulum,cytosol,endoplasmic reticulum membrane,SBO:0000185
R98_cr,Transport of Trichloroethanol,NO,NO,cytosol,endoplasmic reticulum,endoplasmic reticulum membrane,SBO:0000185
R99_ec,Transport of Estrone glucuronide,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R100_ec,Transport of Testosterone glucuronide,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R101_ec,Transport of Androsterone glucuronide,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R102_ec,Transport of Etiocholan-3alpha-ol-17-one 3-glucuronide,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R103_pc,"Transport of 1,7-Dimethyluric acid",NO,NO,peroxisome,cytosol,peroxisomal membrane,SBO:0000185
R104_cp,"Transport of (2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexa-2,6,9,12,15,18-enoyl-CoA",NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R105_pc,"Transport of (2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexa-2,6,9,12,15,18-enoyl-CoA",NO,NO,peroxisome,cytosol,peroxisomal membrane,SBO:0000185
R106_cm,Transport of Phosphatidylserine,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R107_mc,Transport of Phosphatidylserine,NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R108_mc,Transport of Octanoyl-[acp],NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R109_mc,Transport of Hexadecanoyl-[acp],NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R110_cm,Transport of 3-Oxostearoyl-[acp],NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R111_mc,Transport of 3-Oxostearoyl-[acp],NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R112_cm,Transport of Lipoyl-[acp],NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R113_mc,Transport of Lipoyl-[acp],NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R114_mc,"Transport of (2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahepta-2,6,9,12,15,18,21-enoyl-CoA",YES,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R115_cn,Transport of UDP,NO,NO,cytosol,nucleus,nuclear membrane,SBO:0000185
R116_ce,Transport of Heme,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R117_cn,Transport of GDP,NO,NO,cytosol,nucleus,nuclear membrane,SBO:0000185
R118_ce,Transport of GTP,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R119_ce,Transport of 3'-Phosphoadenylyl sulfate,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R120_ce,Transport of L-Arginine,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R121_ce,Transport of CTP,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R122_cn,Transport of Thiamin diphosphate,NO,NO,cytosol,nucleus,nuclear membrane,SBO:0000185
R123_ce,Transport of UTP,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R124_ce,Transport of L-Ornithine,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R125_ce,Transport of ITP,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R126_cp,Transport of Malonyl-CoA,NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R127_mc,Transport of Succinyl-CoA,NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
